pdb	CDR	Length	Cluster_Label
7pry	SEQ_L3	10	1
7ui1	SEQ_L3	10	1
7uvh	SEQ_L3	10	1
6ppg	SEQ_L3	10	1
7u9o	SEQ_L3	10	1
7lop	SEQ_L3	10	1
5e8e	SEQ_L3	10	1
7ua2	SEQ_L3	10	1
5yoy	SEQ_L3	10	1
8f6e	SEQ_L3	10	1
7uvq	SEQ_L3	10	1
7wwl	SEQ_L3	10	1
8xea	SEQ_L3	10	1
6svl	SEQ_L3	10	1
8rp8	SEQ_L3	10	1
7n0a	SEQ_L3	10	1
8tbq	SEQ_L3	10	1
7oly	SEQ_L3	10	1
8zr4	SEQ_L3	10	1
7ucq	SEQ_L3	10	1
7pc2	SEQ_L3	10	1
8qzr	SEQ_L3	10	1
8jmm	SEQ_L3	10	1
4oqt	SEQ_L3	10	1
8dyw	SEQ_L3	10	1
8tma	SEQ_L3	10	1
8dyy	SEQ_L3	10	1
8sj6	SEQ_L3	10	1
3g6d	SEQ_L3	10	1
7wbz	SEQ_L3	10	1
8y4a	SEQ_L3	10	1
7t3d	SEQ_L3	10	1
9bif	SEQ_L3	10	1
6e56	SEQ_L3	10	1
6ofi	SEQ_L3	10	1
7xic	SEQ_L3	10	1
5y11	SEQ_L3	10	1
8pmz	SEQ_L3	10	1
8cxg	SEQ_L3	10	1
8g3m	SEQ_L3	10	1
4hfu	SEQ_L3	10	1
7uvi	SEQ_L3	10	1
7dk0	SEQ_L3	10	1
8wsn	SEQ_L3	10	1
8g30	SEQ_L3	10	1
8i3u	SEQ_L3	10	1
8g3q	SEQ_L3	10	1
7uow	SEQ_L3	10	1
7neg	SEQ_L3	10	1
8bg4	SEQ_L3	10	1
7bz5	SEQ_L3	10	1
7x91	SEQ_L3	10	1
7b3o	SEQ_L3	10	1
8tp7	SEQ_L3	10	1
7wnb	SEQ_L3	10	1
5ug0	SEQ_L3	10	1
7l7e	SEQ_L3	10	1
9fgr	SEQ_L3	10	1
7y0c	SEQ_L3	10	1
8ez7	SEQ_L3	10	1
7s4s	SEQ_L3	10	1
7vyt	SEQ_L3	10	1
7kmi	SEQ_L3	10	1
8vqd	SEQ_L3	10	1
7l2f	SEQ_L3	10	1
8d7e	SEQ_L3	10	1
7e86	SEQ_L3	10	1
8e6k	SEQ_L3	10	1
7ws1	SEQ_L3	10	1
7s8h	SEQ_L3	10	1
8ivx	SEQ_L3	10	1
6b9j	SEQ_L3	10	1
9l6c	SEQ_L3	10	1
8wpw	SEQ_L3	10	1
7zbu	SEQ_L3	10	1
7ps2	SEQ_L3	10	1
4nnp	SEQ_L3	10	1
7zrc	SEQ_L3	10	1
7qnw	SEQ_L3	10	1
8kdr	SEQ_L3	10	1
8f0i	SEQ_L3	10	1
8qrf	SEQ_L3	10	1
7lab	SEQ_L3	10	1
7mtb	SEQ_L3	10	1
8tnj	SEQ_L3	10	1
7wur	SEQ_L3	10	1
