pdb	CDR	Length	Cluster_Label
7t01	SEQ_H2	5	1
7lss	SEQ_H2	5	1
7mmo	SEQ_H2	5	1
7d0d	SEQ_H2	5	1
6ywc	SEQ_H2	5	1
8erq	SEQ_H2	5	1
7xsa	SEQ_H2	5	1
7yvk	SEQ_H2	5	1
7yve	SEQ_H2	5	1
8gdr	SEQ_H2	5	1
7ycy	SEQ_H2	5	1
7wrj	SEQ_H2	5	1
3lev	SEQ_H2	5	1
8rgz	SEQ_H2	5	1
7wee	SEQ_H2	5	1
6rps	SEQ_H2	5	1
8vye	SEQ_H2	5	1
8hp9	SEQ_H2	5	1
8t6m	SEQ_H2	5	1
6xy2	SEQ_H2	5	1
3l5x	SEQ_H2	5	1
4ps4	SEQ_H2	5	1
6ywd	SEQ_H2	5	1
4g6m	SEQ_H2	5	1
8cw9	SEQ_H2	5	1
6urm	SEQ_H2	5	1
7cm4	SEQ_H2	5	1
8rmx	SEQ_H2	5	1
8ywq	SEQ_H2	5	1
6vug	SEQ_H2	5	1
5uqy	SEQ_H2	5	2
7bq5	SEQ_H2	5	2
7mxl	SEQ_H2	5	2
8eoo	SEQ_H2	5	2
8cin	SEQ_H2	5	2
9b8j	SEQ_H2	5	2
8vww	SEQ_H2	5	2
6nn3	SEQ_H2	5	2
6oan	SEQ_H2	5	2
7q9j	SEQ_H2	5	2
7ps0	SEQ_H2	5	2
7u9g	SEQ_H2	5	2
7y0v	SEQ_H2	5	2
8jio	SEQ_H2	5	2
8tp7	SEQ_H2	5	2
8u1q	SEQ_H2	5	2
7qnw	SEQ_H2	5	2
8e6k	SEQ_H2	5	2
6v4n	SEQ_H2	5	2
7pry	SEQ_H2	5	2
6r2s	SEQ_H2	5	2
3hi1	SEQ_H2	5	2
7m3i	SEQ_H2	5	2
7czw	SEQ_H2	5	2
7ps7	SEQ_H2	5	2
6pze	SEQ_H2	5	2
5utz	SEQ_H2	5	2
5ush	SEQ_H2	5	2
7q0h	SEQ_H2	5	2
7n5h	SEQ_H2	5	2
6tou	SEQ_H2	5	2
4yk4	SEQ_H2	5	2
7czp	SEQ_H2	5	2
7rbu	SEQ_H2	5	2
3b2u	SEQ_H2	5	2
5xwd	SEQ_H2	5	2
5bv7	SEQ_H2	5	2
7kn4	SEQ_H2	5	2
5xku	SEQ_H2	5	2
7l7r	SEQ_H2	5	2
7akd	SEQ_H2	5	2
7sts	SEQ_H2	5	2
7str	SEQ_H2	5	2
7t17	SEQ_H2	5	2
8eay	SEQ_H2	5	2
8cbd	SEQ_H2	5	2
8vvk	SEQ_H2	5	2
8zho	SEQ_H2	5	2
8y4c	SEQ_H2	5	2
8vef	SEQ_H2	5	2
8jqm	SEQ_H2	5	2
5k59	SEQ_H2	5	2
8yx1	SEQ_H2	5	2
6iw2	SEQ_H2	5	2
7shz	SEQ_H2	5	2
6pdx	SEQ_H2	5	2
7yds	SEQ_H2	5	2
6dfj	SEQ_H2	5	2
7f7h	SEQ_H2	5	2
6xe1	SEQ_H2	5	2
7czq	SEQ_H2	5	2
7qf0	SEQ_H2	5	2
7nd3	SEQ_H2	5	2
7b3o	SEQ_H2	5	2
7d0c	SEQ_H2	5	2
7ps1	SEQ_H2	5	2
7mzn	SEQ_H2	5	2
4tsa	SEQ_H2	5	2
7kmh	SEQ_H2	5	2
7ey0	SEQ_H2	5	2
7chs	SEQ_H2	5	2
7bz5	SEQ_H2	5	2
7k8m	SEQ_H2	5	2
4tsb	SEQ_H2	5	2
7cjf	SEQ_H2	5	2
7np1	SEQ_H2	5	2
7e88	SEQ_H2	5	2
7e7y	SEQ_H2	5	2
7chc	SEQ_H2	5	2
7s4s	SEQ_H2	5	2
7n3i	SEQ_H2	5	2
7che	SEQ_H2	5	2
7e86	SEQ_H2	5	2
4ttd	SEQ_H2	5	2
7neg	SEQ_H2	5	2
7cho	SEQ_H2	5	2
8dce	SEQ_H2	5	2
7pqy	SEQ_H2	5	2
7nx7	SEQ_H2	5	2
6xcn	SEQ_H2	5	2
7jmo	SEQ_H2	5	2
7wbz	SEQ_H2	5	2
7wos	SEQ_H2	5	2
7ul1	SEQ_H2	5	2
7s5p	SEQ_H2	5	2
7x08	SEQ_H2	5	2
8bcz	SEQ_H2	5	2
7wnb	SEQ_H2	5	2
7xs8	SEQ_H2	5	2
8bse	SEQ_H2	5	2
7xsc	SEQ_H2	5	2
7wt7	SEQ_H2	5	2
8gf2	SEQ_H2	5	2
8bec	SEQ_H2	5	2
8bg3	SEQ_H2	5	2
8bg2	SEQ_H2	5	2
8hws	SEQ_H2	5	2
8yz5	SEQ_H2	5	2
9l6c	SEQ_H2	5	2
8yww	SEQ_H2	5	2
6dfh	SEQ_H2	5	2
7ce2	SEQ_H2	5	2
5gzo	SEQ_H2	5	2
7mdp	SEQ_H2	5	2
6e4x	SEQ_H2	5	2
4m5z	SEQ_H2	5	2
8dcc	SEQ_H2	5	2
7yv1	SEQ_H2	5	2
8tp2	SEQ_H2	5	2
8tnl	SEQ_H2	5	2
8pwu	SEQ_H2	5	2
8pww	SEQ_H2	5	2
7oly	SEQ_H2	5	2
5o1r	SEQ_H2	5	2
2eks	SEQ_H2	5	2
7czx	SEQ_H2	5	2
8zgu	SEQ_H2	5	2
8jkf	SEQ_H2	5	2
8jkh	SEQ_H2	5	2
8ez8	SEQ_H2	5	2
6xpy	SEQ_H2	5	2
8siq	SEQ_H2	5	2
6b0h	SEQ_H2	5	2
6iut	SEQ_H2	5	2
6wqo	SEQ_H2	5	2
5vgj	SEQ_H2	5	2
8v9d	SEQ_H2	5	2
6phb	SEQ_H2	5	2
8r1c	SEQ_H2	5	2
8gau	SEQ_H2	5	2
9bdf	SEQ_H2	5	3
7wph	SEQ_H2	5	3
8d9y	SEQ_H2	5	3
6ii9	SEQ_H2	5	3
7kra	SEQ_H2	5	3
7e23	SEQ_H2	5	3
7e5o	SEQ_H2	5	3
6mlk	SEQ_H2	5	3
7m7b	SEQ_H2	5	3
7po5	SEQ_H2	5	3
7pnq	SEQ_H2	5	3
7ycn	SEQ_H2	5	3
8gnh	SEQ_H2	5	3
8ee1	SEQ_H2	5	3
4xnm	SEQ_H2	5	3
2vxq	SEQ_H2	5	3
9bif	SEQ_H2	5	3
8vuj	SEQ_H2	5	3
4r4n	SEQ_H2	5	3
6pzy	SEQ_H2	5	3
6xqw	SEQ_H2	5	3
8w0y	SEQ_H2	5	3
7xdl	SEQ_H2	5	3
7zlk	SEQ_H2	5	3
7z3a	SEQ_H2	5	3
8tma	SEQ_H2	5	3
8e6j	SEQ_H2	5	3
7kql	SEQ_H2	5	3
5d1z	SEQ_H2	5	3
7tri	SEQ_H2	5	3
7bel	SEQ_H2	5	3
6uig	SEQ_H2	5	3
8ved	SEQ_H2	5	3
6oe4	SEQ_H2	5	3
8w0x	SEQ_H2	5	3
6i04	SEQ_H2	5	3
7kn3	SEQ_H2	5	3
9mer	SEQ_H2	5	3
8v5q	SEQ_H2	5	3
7so5	SEQ_H2	5	3
7uxl	SEQ_H2	5	3
7unb	SEQ_H2	5	3
7n3d	SEQ_H2	5	3
2j6e	SEQ_H2	5	3
7msq	SEQ_H2	5	3
8toa	SEQ_H2	5	3
5sx4	SEQ_H2	5	3
4rfo	SEQ_H2	5	3
8vcr	SEQ_H2	5	3
8tp9	SEQ_H2	5	3
8dfg	SEQ_H2	5	3
5w1k	SEQ_H2	5	3
8ivx	SEQ_H2	5	3
7eh5	SEQ_H2	5	3
8gye	SEQ_H2	5	3
8hlb	SEQ_H2	5	3
4lmq	SEQ_H2	5	3
7yvg	SEQ_H2	5	3
9gwt	SEQ_H2	5	3
7quh	SEQ_H2	5	3
6aru	SEQ_H2	5	3
